epoch,train_loss,train_property_loss,train_joint_loss,train_token_acc,valid_loss,valid_property_loss,valid_joint_loss,valid_token_acc,lr,exact_match,avg_edit_distance,normalized_edit_distance
1,2.5309794360805737,0.9219775352120798,2.992571362036505,0.3837304757389475,1.9764061722553932,0.8605366017673083,2.4067864072878664,0.48727654430943446,4.1666666666666665e-05,0.0,51.43267036191718,1.3593635001547166
2,1.8903777726080222,0.7354584637681012,2.257969074575011,0.5087138118955284,1.7072461182953664,0.8494500685756511,2.1320747533915756,0.5618200903365353,8.333333333333333e-05,0.0,35.761656341701986,0.9389030794174401
3,1.6824584261407793,0.6945591060944425,2.029746385622386,0.564735398213235,1.5629739957269773,0.6928952355939867,1.909462542964536,0.6001335962847509,0.000125,0.0,25.54483208346919,0.6599694918564487
4,1.561854177250373,0.6589070851347835,1.8911718614742596,0.5972862743054059,1.4512223209174993,0.7518274786031554,1.827118862091154,0.6318468095934856,0.00016666666666666666,0.0,27.240299967394847,0.7128412678599086
5,1.4647776644504535,0.6353227012366569,1.7822982895740662,0.6247803630262141,1.3672604258250125,0.6204941110848836,1.6774940418427489,0.6532699281124753,0.00020833333333333335,0.0,27.35409194652755,0.7191019488970584
6,1.400378182194269,0.6071201327660075,1.703834102887867,0.6433366176557556,1.3120526276446836,0.7833136955611979,1.703642243743526,0.6736195050575736,0.00025,0.0,23.895989566351485,0.6250927305905928
7,1.3406312049229985,0.5857251709939176,1.633515551580605,0.6617916363042251,1.2514427082224562,0.5904262116805016,1.5465132258868894,0.6927046885934219,0.00024995253837811895,0.0,25.567981741115098,0.6605012132140556
8,1.290882263300056,0.5674588759443798,1.5746558248204727,0.6771313932777304,1.2265472444748027,0.7082428994379333,1.5806151262742905,0.698438195813983,0.0002498101895541645,0.0,30.277469840234758,0.7999997104707979
9,1.2444103013381222,0.5431705788780058,1.5160060557252457,0.6922025240836389,1.2083706454099519,0.6482894870913841,1.53241163641846,0.7048873974171385,0.0002495730616258337,0.0,24.09455493968047,0.6198540209351998
10,1.2106936612833104,0.5324172738435712,1.4769022687097395,0.7028493418157725,1.1507705426538815,0.5734610998906489,1.437342709697416,0.7251892614033971,0.0002492413346647437,0.00032605151613955004,21.75122269318552,0.5500038328987774
11,1.1805827354590448,0.510943445160753,1.4359073713743726,0.7130591408573385,1.1205518782353066,0.5193493601589433,1.3801475273190782,0.7340638717475666,0.0002488152605796879,0.0,22.302249755461364,0.5641454901303126
12,1.155124163756528,0.4950058738580103,1.402609357150112,0.7216782319586957,1.0971780935557973,0.5602084764409695,1.3771650819930807,0.7449106177237738,0.0002482951629253403,0.0,20.98369742419302,0.5278329248013367
13,1.1318328932035324,0.48024986993715507,1.3718764876021026,0.7300136618457624,1.0657996019528972,0.49882810353688634,1.31512544766909,0.7542305490171131,0.00024768143665655225,0.00032605151613955004,21.8829475057059,0.553896712804309
14,1.1107784013791548,0.47412648617983194,1.3478101038588788,0.7369819048201357,1.0532795113736348,0.4961843308890958,1.3012963531069388,0.7583497677969336,0.00024697454782842944,0.0,21.62210629279426,0.5466354829902187
15,1.0930602405140104,0.4554293102902053,1.3207098047861778,0.743218442188742,1.034477012941621,0.46796815172639467,1.2683776917113985,0.7657134677778484,0.0002461750332424163,0.0,21.729703293120313,0.5470684130211804
16,1.0760581513753942,0.44423437126547527,1.2980745455897447,0.7489447903062038,1.0271510904255172,0.5099403868484932,1.2820491661339815,0.7668029136713531,0.0002452835000386563,0.0006521030322791001,22.00097815454842,0.5561947004216874
17,1.0602426816454793,0.433307902726663,1.2768623963189103,0.7545268019754047,1.0204479504350343,0.5624371887536013,1.301566061462064,0.7736576754246454,0.00024430062523493845,0.00032605151613955004,20.91327029670688,0.5264259893919855
18,1.0451911053807976,0.4273422866940664,1.258825304096754,0.7603473697188146,0.9894928103155842,0.45874654858050923,1.2188084590384498,0.7817211654685412,0.00024322715521257933,0.0013042060645582002,21.13042060645582,0.5323500461760713
19,1.0314630640098663,0.41301065634775447,1.2378253448735417,0.7649541080258082,0.9922958753907777,0.48196249240222877,1.233196909862191,0.7821108212990648,0.00024206390514963183,0.0006521030322791001,21.488751222693185,0.5414724097278445
20,1.020378532875625,0.40303264573256525,1.22184108811252,0.7689273696987678,0.9698342441601512,0.47052186485568204,1.2050287468564755,0.7892518608053948,0.0002408117584018502,0.00097815454841865,21.256276491685686,0.5364687713042833
21,1.0086048071295022,0.39322189565314014,1.2050970583641512,0.7729577645491641,0.9739806161465494,0.4161381483816502,1.1820005902569264,0.7897051339143711,0.00023947166583188217,0.0,20.678513205086404,0.518322750405176
22,0.9954843706094861,0.37965900584869494,1.1852128144881735,0.7780065332289567,0.9654667842774167,0.5002408789663312,1.215541679073243,0.7910649532413003,0.0002380446450871972,0.0006521030322791001,20.91196609064232,0.5268825980287807
23,0.9870542824699632,0.37255631201257716,1.1733490537390145,0.7808401383625231,0.9537158922039717,0.48298565075068667,1.195170943768902,0.7958601056046822,0.00023653177982729925,0.0013042060645582002,21.315943919139222,0.5354854190717709
24,0.974272372556791,0.36261805212467585,1.155470424675267,0.7854749420900118,0.9520378838152185,0.48843238195923666,1.196131472872102,0.7966791780647624,0.00023493421890081112,0.0013042060645582002,20.917835017932834,0.5243148914820566
25,0.9671605456782177,0.35178647006482183,1.1430210335928896,0.7880750028316005,0.9452662031297253,0.4031326489278304,1.1467689680749988,0.8000270373433425,0.00023325317547305487,0.00097815454841865,20.669057711118356,0.5180637353248261
26,0.9555939817648949,0.3438418837789705,1.1274852965507218,0.792079336934394,0.9438954148162139,0.40284327824029464,1.1452845085083097,0.7992715821617151,0.0002314899261047909,0.0026084121291164004,21.41310727094881,0.5383364000961874
27,0.9471358333563549,0.33309841124422734,1.1135923098145657,0.7954101009453035,0.9233637025182966,0.47656054002359477,1.1616199133176153,0.8061820090336536,0.00022964580978281608,0.0026084121291164004,21.394848386044995,0.539500901229862
28,0.9375911212228286,0.32195958775743994,1.0985202166778958,0.7987548976664606,0.9151908430527455,0.42316197083833595,1.1267094681695964,0.8107942617214835,0.00022772222690315563,0.00097815454841865,21.150309748940334,0.5307955279925511
29,0.9300919378278492,0.311946997104535,1.0859670845834668,0.8012817878474725,0.9092764722833774,0.4317098891342506,1.1250987047475909,0.8124880717602901,0.00022572063820762228,0.0019563090968373,20.93511574828823,0.5258533533235754
30,0.9230426365657702,0.2999730961163605,1.0729464499808723,0.8044301266251632,0.9130757469969462,0.417615656019773,1.1217994120131107,0.8122176983268655,0.00022364256367454923,0.0013042060645582002,20.288229540267363,0.5081564224086209
31,0.9146654044705291,0.29587547845359224,1.0625002967258863,0.806846759797087,0.9068639710141704,0.4057442337459176,1.1096682755302676,0.8145715376296202,0.00022148958136454012,0.0013042060645582002,20.372024779915225,0.5099473180642601
32,0.9067274933486636,0.28131223280777545,1.0473279657482062,0.8102206242751855,0.9008261136143283,0.42563339990126725,1.1135813637202674,0.816821998854889,0.00021926332622211205,0.0019563090968373,20.52168242582328,0.5138766350063428
33,0.9003599326066004,0.2728784246754508,1.0367280479805718,0.8125380261389299,0.8957182860235479,0.4352730129474065,1.1133214077500206,0.8181738660220116,0.00021696548883414147,0.0019563090968373,20.54157156830779,0.5159605802868376
34,0.8919549174829906,0.2604927008456372,1.0221519534644419,0.8156462714587704,0.8847345365924123,0.41898134373125984,1.094218720859606,0.8222294675233793,0.00021459781414605642,0.0013042060645582002,20.433322464949462,0.5124612137704978
